id,title,category,activity_key,lat,lng,duration,format,zone,distance,image,vivanote,shortDescription,includes,requirements,idealFor,effortLevel,weatherNote,clothingNote,importantToKnow,needsPhone,needsPeopleCount,extraAllowed,maxExtraPeople,extraRequiresApproval,extraNote,city,ambiance,environment,durationType,engagement,calma_tipo,participacion_tipo,sacudida_tipo,resolucion
Campo de Golf Briceño 18,Sesión de golf en campo de 18 hoyos,aventura,golf,4.938032806,-73.9656295,60,solo,Cundi Norte,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Incluimos este campo por su formato completo de 18 hoyos. Es un plan de juego en recorrido amplio.,Sesión de golf en campo de 18 hoyos para disfrutar recorrido completo en entorno natural.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,concentración,naturaleza,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Llegar puntual,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Bosque Residencial Golf Course,Sesión de golf en campo rodeado de bosque,aventura,golf,4.963000308,-74.01532608,60,solo,Cundi Norte,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Elegimos este campo por su entorno rodeado de bosque. Representa el juego en contacto directo con la naturaleza.,Sesión de golf en campo rodeado de bosque para jugar en contacto directo con la naturaleza.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,naturaleza,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Puntualidad requerida,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Club Campestre La Sabana,Sesión de golf en campo amplio de sabana,aventura,golf,4.990996912,-73.97115067,60,solo,Cundi Norte,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Valoramos este campo por su amplitud en paisaje de sabana. Representa el golf en terreno abierto.,Sesión de golf en campo amplio de sabana donde el juego se desarrolla en paisaje abierto.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,naturaleza,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Puntualidad requerida,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Parque Natural Chicaque,Senderismo ecológico en bosque de niebla,aventura,hiking,4.60640796,-74.30479662,60,solo,Cundi Occidente,Cercana,https://images.pexels.com/photos/3076431/pexels-photo-3076431.jpeg,Nos gusta esta reserva por su bosque de niebla y los senderos que permiten una inmersión progresiva en el entorno natural. Representa muy bien el tipo de plan donde el camino es tan importante como el destino.,Senderismo ecológico en bosque de niebla con inmersión progresiva en entorno natural protegido.,Ingreso al parque | Senderos señalizados,Buena movilidad | Mayores de 8 años,naturaleza | caminata | desconexión,medio,La realización depende de condiciones climáticas y puede ajustarse según indicación del operador.,Ropa cómoda | Chaqueta ligera impermeable,Caminata en terreno natural | Posibles pendientes | Llegar con tiempo,TRUE,TRUE,TRUE,2,TRUE,Podemos consultar disponibilidad adicional,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Green Glamping Chipaque Cundinamarca,Noche de glamping en entorno de montaña,aventura,paragliding,4.450032978,-73.98164489,60,duo,Cundi Oriente,Cercana,https://images.pexels.com/photos/33412090/pexels-photo-33412090.jpeg,"Elegimos esta estadía por su entorno de montaña y la forma en que propone una pausa real lejos del ritmo urbano. La experiencia combina naturaleza y comodidad de manera equilibrada, dentro de un paisaje que invita a desconectar sin complicaciones.","Vive una noche de glamping en entorno de montaña, pensada para desconectar y disfrutar la naturaleza con comodidad.",Noche de glamping | Alojamiento equipado,Mayores de 8 años,pareja | descanso | naturaleza,medio,La realización depende de condiciones climáticas y puede ajustarse según indicación del operador.,Ropa cómoda | Abrigo para clima frío,Llegar antes del anochecer | Experiencia en entorno natural | Señal limitada,TRUE,TRUE,TRUE,2,TRUE,Podemos ayudarte a gestionar personas adicionales según disponibilidad,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Reserva Botánica Choachí,Caminata ecológica + descanso en naturaleza,bienestar,hiking,4.532400367,-73.93625601,60,solo,Cundi Oriente,Cercana,https://images.pexels.com/photos/3076431/pexels-photo-3076431.jpeg,Nos gusta esta experiencia por la caminata suave en un entorno natural conservado. Es un plan que une recorrido y descanso en medio del paisaje.,Caminata ecológica en reserva natural combinada con espacios de descanso al aire libre.,Ingreso a reserva,Recorrido natural,Buena movilidad,Mayores de 8 años,naturaleza,caminata,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Calzado con agarre,Actividad en entorno natural,Puntualidad requerida,Bogotá,relax,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Awa Casa de Río,Ritual de bienestar en entorno natural junto al río,bienestar,meditation,4.619323717,-73.89293435,60,duo,Cundi Norte,Cercana,https://www.pexels.com/fr-fr/photo/gens-personnes-individus-yoga-5890302/,Valoramos este espacio por la cercanía al río y el entorno natural que acompaña el bienestar. Representa una experiencia donde paisaje y cuidado corporal se integran.,Ritual de bienestar en entorno natural junto al río con enfoque en descanso y conexión.,Sesión de bienestar,Espacio natural,Mayores de 12 años,naturaleza,desconexión,relajación,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Ambiente de tranquilidad,TRUE,TRUE,Bogotá,relax,indoor,media,relajado,ambiental,(vide),(vide),entorno
Boscaje – Solarpunk Habitat & Spa,Ritual de spa ecológico en hábitat natural,bienestar,spa,4.661236146,-74.40982521,60,solo,Cundi Sur,Cercana,https://images.pexels.com/photos/23916836/pexels-photo-23916836.png,Elegimos este spa por su integración con un hábitat natural y enfoque ecológico. Es una experiencia donde entorno y cuidado corporal se conectan.,Ritual de spa ecológico en hábitat natural enfocado en relajación y conexión con el entorno.,Acceso a spa,Ritual corporal,Mayores de 12 años,bienestar,naturaleza,desconexión,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Ambiente de tranquilidad,Llegar puntual,TRUE,Bogotá,relax,indoor,media,relajado,ambiental,(vide),(vide),entorno
CAMPER HOUSE,Noche en camper equipado en entorno natural,estancias,caravan,4.978120745,-74.06766583,60,duo,Cundi Norte,Cercana,https://images.pexels.com/photos/7163689/pexels-photo-7163689.jpeg,Incluimos este plan por la experiencia de dormir en camper equipado. Representa la movilidad como forma de estadía.,Noche en camper equipado en entorno natural para experiencia de descanso móvil.,Noche de alojamiento,Camper equipado,Mayores de 8 años,descanso,naturaleza,experiencia,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Entorno natural,TRUE,TRUE,Cundi Norte,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Almazewá,Noche en eco-refugio rodeado de naturaleza,estancias,eco_lodge,4.497276229,-73.93397208,60,duo,Cundi Oriente,Cercana,https://images.pexels.com/photos/35072710/pexels-photo-35072710.jpeg,Elegimos este eco-refugio por la integración directa con la naturaleza circundante. Es una experiencia de estadía centrada en el entorno.,Noche en eco-refugio rodeado de naturaleza para descanso en entorno aislado.,Noche de alojamiento,Espacio natural,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Señal limitada,TRUE,TRUE,Cundi Oriente,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
REFUGIO EXPLORA VERDE,Estadía en refugio ecológico con entorno natural,estancias,eco_lodge,4.505983979,-73.92028352,60,duo,Cundi Oriente,Cercana,https://images.pexels.com/photos/35072710/pexels-photo-35072710.jpeg,Valoramos este refugio por su propuesta ecológica en paisaje natural. Representa una pausa de descanso en contacto con el entorno.,Estadía en refugio ecológico con entorno natural pensado para desconexión.,Noche de alojamiento,Espacio natural,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Llegar antes del anochecer,TRUE,TRUE,Cundi Oriente,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Skale Peregrino (Ecolodge),Noche en ecolodge rodeado de paisaje montañoso,estancias,eco_lodge,4.508478782,-73.90485235,60,duo,Cundi Oriente,Cercana,https://images.pexels.com/photos/35072710/pexels-photo-35072710.jpeg,Seleccionamos este ecolodge por su ubicación en paisaje montañoso. Es un plan donde la estadía se vive desde la cercanía con la montaña.,Noche en ecolodge rodeado de paisaje montañoso para descansar en entorno natural.,Noche de alojamiento,Espacio natural,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Señal limitada,TRUE,TRUE,Cundi Oriente,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Chalets HUITACA,Noche en chalet de montaña con vista natural,estancias,eco_lodge,4.526358807,-73.91857311,60,duo,Cundi Oriente,Cercana,https://images.pexels.com/photos/35072710/pexels-photo-35072710.jpeg,Incluimos este chalet por la vista natural que acompaña la noche. Representa el descanso en arquitectura pensada para el entorno.,Noche en chalet de montaña con vista natural para disfrutar entorno abierto.,Noche de alojamiento,Chalet equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo para clima frío,Llegar antes del anochecer,TRUE,TRUE,Cundi Oriente,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
La Cabaña en el Guadual,Noche en cabaña rodeada de bosque de guadua,estancias,eco_lodge,4.603439166,-74.3525615,60,duo,Cundi Sur,Cercana,https://images.pexels.com/photos/35072710/pexels-photo-35072710.jpeg,Seleccionamos esta cabaña por el bosque de guadua que la rodea. Representa una noche en contacto directo con la vegetación local.,Noche en cabaña rodeada de bosque de guadua para descanso en entorno natural.,Noche de alojamiento,Cabaña equipada,Mayores de 8 años,descanso,naturaleza,desconexión,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Señal limitada,TRUE,TRUE,Cundi Sur,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
La Guarida Eco‑Posada,Noche en eco-posada rodeada de naturaleza,estancias,eco_lodge,4.613489032,-74.39353233,60,duo,Cundi Sur,Cercana,https://images.pexels.com/photos/35072710/pexels-photo-35072710.jpeg,Incluimos esta eco-posada por su relación directa con la naturaleza circundante. Representa el descanso en formato sencillo y natural.,Noche en eco-posada rodeada de naturaleza pensada para descanso y conexión natural.,Noche de alojamiento,Habitación equipada,Mayores de 8 años,descanso,naturaleza,desconexión,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Ambiente tranquilo,TRUE,TRUE,Cundi Norte,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
La Gloria Reserva Forestal,Estadía en reserva forestal con senderos naturales,estancias,eco_lodge,4.66936252,-73.92236034,60,duo,Cundi Norte,Cercana,https://www.pexels.com/fr-fr/photo/detente-relaxation-chaises-terrasse-19473921/,Elegimos esta reserva por los senderos y el entorno forestal que acompañan la estadía. Es una experiencia donde el paisaje es protagonista.,Estadía en reserva forestal con senderos naturales para desconectar en entorno verde.,Noche de alojamiento,Acceso a senderos,Mayores de 8 años,naturaleza,descanso,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Calzado con agarre,Entorno natural,TRUE,TRUE,Cundi Sur,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Rancho Ecoturístico El Faro,Estadía ecoturística en entorno natural costero,estancias,eco_lodge,4.673636595,-74.40087778,60,duo,Cundi Sur,Cercana,https://www.pexels.com/fr-fr/photo/detente-relaxation-chaises-terrasse-19473921/,Seleccionamos este rancho por su entorno natural cercano a la costa. Representa la estadía desde una propuesta ecoturística.,Estadía ecoturística en entorno natural costero para descanso cerca del paisaje abierto.,Noche de alojamiento,Espacio natural,Mayores de 8 años,descanso,naturaleza,desconexión,suave,Depende de condiciones climáticas.,Ropa cómoda,Protección solar,Entorno abierto,TRUE,TRUE,Cundi Norte,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
CABAÑAS EL ABUELO,Noche en cabaña campestre en entorno rural,estancias,eco_lodge,4.736667409,-73.91698232,60,duo,Cundi Norte,Cercana,https://www.pexels.com/fr-fr/photo/detente-relaxation-chaises-terrasse-19473921/,Valoramos estas cabañas por su carácter campestre en entorno rural. Es un plan de noche ligado a la vida de campo.,Noche en cabaña campestre en entorno rural para descanso en paisaje abierto.,Noche de alojamiento,Cabaña equipada,Mayores de 8 años,descanso,naturaleza,desconexión,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Llegar antes del anochecer,TRUE,TRUE,Cundi Norte,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Las Golondrinas - Cabañas - Hotel Boutique,Estadía en cabaña boutique rodeada de naturaleza,estancias,eco_lodge,4.983186006,-74.06346831,60,duo,Cundi Norte,Cercana,https://www.pexels.com/fr-fr/photo/detente-relaxation-chaises-terrasse-19473921/,Elegimos estas cabañas boutique por su integración con la naturaleza. Es una estadía donde diseño y entorno se equilibran.,Estadía en cabaña boutique rodeada de naturaleza para descanso en ambiente cuidado.,Noche de alojamiento,Cabaña equipada,Mayores de 8 años,descanso,naturaleza,desconexión,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Llegar antes del anochecer,TRUE,TRUE,Cundi Norte,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Yurta de Campo,Noche en yurta campestre en entorno natural,estancias,eco_lodge,4.986018689,-74.06000236,60,duo,Cundi Norte,Cercana,https://images.pexels.com/photos/13539139/pexels-photo-13539139.jpeg,Seleccionamos esta yurta por su formato de alojamiento distinto en entorno natural. Representa la noche en estructura no convencional.,Noche en yurta campestre en entorno natural para experiencia diferente de alojamiento.,Noche de alojamiento,Yurta equipada,Mayores de 8 años,naturaleza,descanso,experiencia,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo para clima frío,Entorno natural,TRUE,TRUE,Cundi Norte,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Guacandas,Estadía en eco-refugio rodeado de bosque,estancias,eco_lodge,5.102517229,-73.78510015,60,duo,Cundi Norte,Cercana,https://images.pexels.com/photos/13539139/pexels-photo-13539139.jpeg,Elegimos este eco-refugio por su ubicación dentro de bosque. Es una estadía donde el entorno natural es constante.,Estadía en eco-refugio rodeado de bosque para descanso en entorno verde.,Noche de alojamiento,Espacio natural,Mayores de 8 años,descanso,naturaleza,desconexión,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Entorno natural,TRUE,TRUE,Cundi Norte,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Refugios de Alta Güita,Noche en refugio de montaña rodeado de naturaleza,estancias,eco_lodge,5.11352224,-73.78129868,60,duo,Cundi Norte,Cercana,https://images.pexels.com/photos/13539139/pexels-photo-13539139.jpeg,Valoramos estos refugios por su ubicación en zona de montaña. Es una experiencia de estadía centrada en el paisaje natural.,Noche en refugio de montaña rodeado de naturaleza para descanso en altura.,Noche de alojamiento,Refugio equipado,Mayores de 8 años,naturaleza,descanso,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo para clima frío,Llegar antes del anochecer,TRUE,TRUE,Cundi Norte,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Casa Kolibri,Noche en casa ecológica rodeada de naturaleza,estancias,eco_lodge,5.195691769,-74.19319743,60,duo,Cundi Norte,Lejana,https://images.pexels.com/photos/13539139/pexels-photo-13539139.jpeg,Valoramos esta casa por su propuesta ecológica en entorno natural. Es una estadía donde descanso y naturaleza se integran.,Noche en casa ecológica rodeada de naturaleza para descanso en entorno natural.,Noche de alojamiento,Espacio natural,Mayores de 8 años,descanso,naturaleza,desconexión,suave,Depende de condiciones del entorno.,Ropa cómoda,Abrigo ligero,Llegar antes del anochecer,TRUE,TRUE,Cundi Norte,romántico,indoor,media,relajado,ambiental,(vide),(vide),entorno
Prana Hills Glamping,Noche de glamping en colinas naturales,estancias,glamping,4.270995095,-74.42923351,60,duo,Cundi Sur,Cercana,https://www.pexels.com/fr-fr/photo/arbres-plantes-centrales-camping-8692501/,Seleccionamos esta noche por el entorno de colinas que acompaña la estadía. Es un plan de descanso donde el paisaje abierto marca el ritmo.,Noche de glamping en colinas naturales para desconectar en entorno abierto.,Noche de glamping,Alojamiento equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo para clima frío,Llegar antes del anochecer,TRUE,TRUE,Cundi Sur,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Glamping Corazón del Molino,Noche de glamping en entorno rural histórico,estancias,glamping,4.47833763,-73.91049252,60,duo,Cundi Oriente,Cercana,https://www.pexels.com/fr-fr/photo/arbres-plantes-centrales-camping-8692501/,Incluimos esta estadía por su entorno rural con carácter histórico. Representa el descanso en un espacio con identidad propia.,Noche de glamping en entorno rural histórico para disfrutar descanso en naturaleza.,Noche de glamping,Alojamiento equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Llegar antes del anochecer,TRUE,TRUE,Cundi Oriente,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Colombia Mountain Tours Glamping,Noche de glamping en entorno de montaña,estancias,glamping,4.559562697,-73.94292313,60,duo,Cundi Oriente,Cercana,https://www.pexels.com/fr-fr/photo/arbres-plantes-centrales-camping-8692501/,Elegimos esta experiencia por el formato de glamping en entorno de montaña. Es una estadía que combina naturaleza y comodidad básica.,Noche de glamping en entorno de montaña para desconectar en naturaleza.,Noche de glamping,Alojamiento equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Señal limitada,TRUE,TRUE,Cundi Oriente,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Pandora Glamping,Noche de glamping en entorno natural aislado,estancias,glamping,4.568132168,-74.42951034,60,duo,Cundi Sur,Cercana,https://www.pexels.com/fr-fr/photo/arbres-plantes-centrales-camping-8692501/,Seleccionamos este glamping por su sensación de aislamiento en entorno natural. Representa una pausa lejos del movimiento urbano.,Noche de glamping en entorno natural aislado para descanso en paisaje abierto.,Noche de glamping,Alojamiento equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Llegar antes del anochecer,TRUE,TRUE,Cundi Sur,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
La Julita Glamping,Noche de glamping en entorno natural tranquilo,estancias,glamping,4.698964234,-74.41101977,60,duo,Cundi Sur,Cercana,https://www.pexels.com/fr-fr/photo/arbres-plantes-centrales-camping-8692501/,Incluimos este glamping por su ubicación en paisaje natural sereno. Representa una pausa corta en entorno abierto.,Noche de glamping en entorno natural tranquilo para desconectar al aire libre.,Noche de glamping,Alojamiento equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo para clima frío,Llegar antes del anochecer,TRUE,TRUE,Cundi Occidente,"romántico,relax",indoor,larga,relajado,ambiental,(vide),(vide),entorno
GLAMPING AND CAMPING EL NODO,Noche de camping o glamping en naturaleza,estancias,glamping,4.833813399,-74.1339586,60,duo,Cundi Norte,Cercana,https://images.pexels.com/photos/9666094/pexels-photo-9666094.jpeg,Incluimos este lugar por la opción de camping o glamping en naturaleza. Representa una experiencia flexible en entorno natural.,Noche de camping o glamping en naturaleza para vivir experiencia al aire libre.,Noche de alojamiento,Espacio natural,Mayores de 8 años,naturaleza,descanso,experiencia exterior,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo para clima frío,Entorno natural,TRUE,TRUE,Cundi Norte,relax,outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Mauna Glamping,Noche de glamping en entorno natural abierto,estancias,glamping,4.835548721,-74.11996112,60,duo,Cundi Norte,Cercana,https://images.pexels.com/photos/9666094/pexels-photo-9666094.jpeg,Elegimos este glamping por su apertura hacia el paisaje natural. Es una estadía donde el exterior hace parte del plan.,Noche de glamping en entorno natural abierto para desconectar en paisaje amplio.,Noche de glamping,Alojamiento equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Llegar antes del anochecer,TRUE,TRUE,Cundi Occidente,"romántico,relax",outdoor,larga,relajado,ambiental,(vide),(vide),entorno
Glamping Santuario,Noche de glamping en santuario natural,estancias,glamping,4.893460467,-74.17805013,60,duo,Cundi Occidente,Cercana,https://images.pexels.com/photos/9666094/pexels-photo-9666094.jpeg,Valoramos este glamping por su ubicación en un santuario natural. Es una experiencia de noche en entorno conservado.,Noche de glamping en santuario natural para descanso en entorno protegido.,Noche de glamping,Alojamiento equipado,Mayores de 8 años,descanso,naturaleza,desconexión,medio,Depende de condiciones climáticas.,Ropa cómoda,Abrigo ligero,Entorno natural,TRUE,TRUE,Cundi Norte,relax,indoor,larga,relajado,ambiental,(vide),(vide),entorno
